championId,win,kills,deaths,assists,visionScore,controlWardsBought,totalGold,f10_goldPerMin,creepScore,f10_csPerMin,f10_csDiffPerMin,f10_xpPerMin,f10_xpDiffPerMin,firstBloodKill,firstBloodAssist,firstBloodTakedown,firstTowerKill,firstTowerAssist,firstTowerTakedown,team_firstDragon,team_firstHerald,team_firstBaron,team_dragonKills
39,False,7,3,7,17,3,14162,335.9,277,8.6,2.5,461.5,2.30000000000004,False,False,False,False,False,False,False,True,False,2
82,False,2,5,1,13,1,7103,249.8,145,6.0,0.5,453.9,62.400000000000006,False,False,False,False,False,False,False,False,False,0
2,False,3,7,2,26,3,8762,249.3,143,4.8,0.8999999999999999,352.3,-7.899999999999977,False,False,False,True,False,True,False,True,False,0
31,False,1,2,2,12,3,6347,218.89999999999998,126,5.7,-0.9999999999999996,418.9,-26.69999999999996,False,False,False,False,False,False,False,False,False,0
39,True,3,5,7,25,4,10312,261.70000000000005,192,6.5,-0.6000000000000001,442.4,-18.69999999999999,False,False,False,False,False,False,True,True,False,3
6,False,2,4,1,23,4,9677,276.2,178,8.0,1.4,467.0,32.70000000000002,False,False,False,True,False,True,True,False,False,2
31,False,3,5,4,13,5,8879,208.5,139,5.1,-2.9000000000000004,423.0,-33.5,False,False,False,True,False,True,False,False,False,0
266,False,5,5,2,11,2,10057,240.1,173,6.1,-0.6999999999999997,388.0,-41.30000000000001,False,False,False,False,False,False,True,True,False,2
31,True,0,3,6,13,3,8719,189.7,162,4.1,-4.4,310.79999999999995,-172.90000000000003,False,False,False,False,False,False,False,False,True,0
39,False,2,2,1,15,3,8770,282.0,178,7.3,0.2999999999999998,392.5,-8.400000000000006,False,False,False,True,False,True,False,True,False,0
31,True,13,4,11,12,2,14060,351.6,171,6.1,,512.2,,False,False,False,False,False,False,False,True,False,3
31,False,1,7,12,24,8,10455,252.7,222,7.5,,422.20000000000005,,False,False,False,False,False,False,False,False,False,0
39,False,7,10,2,24,4,12321,388.6,207,6.0,1.6999999999999997,426.0,-2.200000000000017,True,False,True,False,False,False,False,True,False,2
17,True,6,4,6,18,2,12078,225.5,188,6.0,,443.5,,False,False,False,False,False,False,False,True,True,4
31,True,0,4,13,14,2,7890,239.8,103,4.9,,371.6,,False,False,False,False,False,False,True,True,False,3
39,False,7,6,3,29,2,13687,454.5,247,9.4,3.7000000000000006,524.3,158.89999999999998,False,False,False,False,True,True,True,True,False,2
31,True,6,5,15,14,3,12321,293.8,153,7.5,0.10000000000000009,430.6,-10.400000000000006,False,False,False,True,False,True,False,True,True,1
6,False,3,11,5,18,2,9144,256.9,152,4.2,-1.5999999999999996,330.4,-139.8,False,False,False,False,False,False,False,False,True,0
39,False,3,9,9,23,6,10555,230.29999999999998,163,6.2,,410.1,,False,False,False,False,False,False,False,True,True,0
31,False,3,6,1,8,1,8046,269.1,125,6.6,-0.8999999999999999,474.2,1.5,False,False,False,False,False,False,False,False,False,0
31,True,9,4,8,30,2,14306,292.0,187,7.5,0.2999999999999998,464.79999999999995,-41.5,False,False,False,True,False,True,False,True,True,4
39,True,15,4,10,21,4,16240,318.4,214,7.2,-0.20000000000000018,431.1,-37.99999999999997,False,False,False,False,False,False,False,False,False,3
54,False,2,5,5,26,8,9470,200.8,186,4.9,-2.3,384.2,-54.60000000000002,False,False,False,False,False,False,False,True,False,1
6,False,2,3,1,19,1,10113,343.1,243,8.3,,477.1,,False,False,False,False,False,False,False,False,False,0
266,False,1,7,2,28,6,6310,187.7,93,4.0,,365.7,,False,False,False,False,False,False,True,True,False,4
31,True,3,4,11,15,4,9382,252.6,132,6.300000000000001,-1.0,453.3,-16.69999999999999,False,False,False,False,False,False,True,False,True,2
133,False,2,8,2,48,4,10801,256.6,198,5.1,-0.5,392.4,21.80000000000001,False,False,False,False,False,False,False,False,True,2
266,False,2,7,1,18,2,6478,221.7,114,5.9,-1.7000000000000002,398.9,-105.99999999999997,False,False,False,False,False,False,False,False,False,0
31,False,2,9,7,17,2,8830,201.60000000000002,130,4.800000000000001,-2.7,364.1,-140.89999999999998,False,False,False,False,False,False,False,False,False,0
133,True,3,4,8,33,3,12441,243.9,224,6.2,0.10000000000000009,413.20000000000005,-8.5,False,False,False,False,False,False,True,False,True,4
6,False,5,4,7,32,4,11838,296.7,184,6.199999999999999,-1.3000000000000003,470.20000000000005,17.599999999999994,True,False,True,False,False,False,False,True,False,3
266,True,6,3,11,45,6,13492,292.2,199,6.9,0.6000000000000001,449.4,74.20000000000002,False,False,False,False,False,False,True,False,True,4
31,True,4,4,11,30,6,11690,280.3,181,6.8,0.7999999999999998,454.2,71.19999999999999,False,False,False,False,False,False,False,False,True,2
31,False,3,13,6,12,6,7680,234.9,109,4.9,-2.6,316.1,-164.9,False,False,False,False,False,False,False,False,False,1
31,True,6,3,11,24,3,10760,291.8,131,5.300000000000001,,468.0,,False,False,False,False,True,True,True,True,True,3
